서청원,윤상직,-0.009837123101520406,
안철수,이수혁,0.0,
김재원,김종인,0.0,
김종태,이수혁,0.0,
김재원,김현미,0.0,
김종인,이수혁,0.0,
문미옥,이수혁,0.0,
김종태,심기준,0.0,
김재원,김종태,0.0,
심기준,안철수,0.0,
김재원,배덕광,0.0,
김재원,안철수,0.0,
김재원,문미옥,0.0,
김재원,도종환,0.0,
배덕광,심기준,0.0,
배덕광,이수혁,0.0,
김종인,심기준,0.0,
김부겸,김재원,0.0,
김부겸,이수혁,0.001644932645170516,
도종환,이수혁,0.0035432933563515068,
김현미,이수혁,0.003672031138603593,
김영춘,김재원,0.0043200675732973925,
김부겸,서청원,0.00449058525345325,
도종환,서청원,0.004836508334066791,
서청원,안철수,0.005333807470626617,
김영춘,이수혁,0.006220666789197193,
배덕광,서청원,0.006437560729619096,
김영춘,서청원,0.00849105725764232,
서청원,최명길,0.011692108443873361,
민병두,서청원,0.04898587614231442,
권석창,김종인,0.05262702348114212,
문미옥,서청원,0.05567056172917828,
김용태,최경환(한),0.06200448681387516,
김현미,서청원,0.065159019150546,
김종인,윤상현,0.06714358784720498,
박명재,서청원,0.06896855463396145,
강석호,김종인,0.07017753860213549,
김재원,홍문표,0.0702736841402648,
김영주,서청원,0.0705764074107218,
김용태,안철수,0.07251112550760364,
도종환,심기준,0.07319215203697038,
김종태,이종걸,0.07416275616763157,
강길부,김종인,0.0756472071805695,
김영주,김재원,0.07630399073607719,
서청원,이주영,0.07652014334246915,
서청원,이우현,0.07687334140423385,
김무성,김종태,0.07765121508898032,
김영춘,심기준,0.07769610329447996,
문미옥,심기준,0.07836997630525566,
김영주,이수혁,0.07917367766170103,
김정훈,김종인,0.08052088343392139,
김종인,박인숙,0.08093047766974648,
남인순,서청원,0.08375418516849653,
서청원,성일종,0.08542407532042229,
김영우,김종인,0.08543724885126325,
서청원,윤종오,0.08551752537722068,
김용태,배덕광,0.08751623987158841,
서청원,한선교,0.08763892264428208,
나경원,서청원,0.0885743352820394,
김재원,이해찬,0.08948498588089382,
김부겸,심기준,0.09008280944086633,
김재원,최교일,0.09252816162761612,
김종태,서청원,0.09254070637940326,
김종태,한정애,0.09495937618788086,
김용태,홍문종,0.09571135748904547,
김종인,김종훈,0.09736433503327735,
권석창,서청원,0.09865027552909433,
김종인,신용현,0.0993190007159529,
김종인,여상규,0.09945906948473948,
서청원,윤한홍,0.09980679952738225,
박영선,서청원,0.0999020466082321,
김용태,김종인,0.10019672411143288,
김석기,김재원,0.10023975411052788,
김현미,심기준,0.10231122864745235,
배덕광,이혜훈,0.10434374116681455,
권미혁,김종태,0.10512788912295412,
서청원,조배숙,0.1063978418030267,
심기준,최경환(한),0.10644784440362942,
김두관,서청원,0.10673962823362981,
김종인,이진복,0.10774549587108029,
김종인,주호영,0.10839244070714216,
김종인,백승주,0.109346241071552,
김재원,최경환(한),0.10943065171683353,
금태섭,서청원,0.10973009196708505,
김종인,김학용,0.11009349059338336,
김종인,정진석,0.11037205849899889,
김종인,오신환,0.11188852765864277,
김종태,민홍철,0.1124005227237781,
김종인,장석춘,0.11528272203128409,
김종태,윤상직,0.11530901393707393,
김종인,박덕흠,0.11634748345415691,
김종인,유의동,0.11905945549373509,
김종태,윤상현,0.1211878263802122,
서청원,홍문종,0.12131118108867067,
김학용,서청원,0.12139539573337677,
심기준,이우현,0.12174535296358924,
김재원,이우현,0.12222345351654862,
김종인,이혜훈,0.12252555009202959,
박성중,서청원,0.12257383490565132,
서청원,유승민,0.12345851822992482,
김종훈,서청원,0.12384685051075339,
김종인,진영,0.12390078775252211,
김종인,장제원,0.12516166554360164,
김종인,윤상직,0.1255102694243555,
김무성,김종인,0.12624824986233762,
권성동,김종인,0.12692906206988752,
서청원,이상민,0.1276785670663756,
김종인,서청원,0.12775217438035547,
김종인,유승민,0.12842990950429,
김태흠,서청원,0.13006166194990332,
김종인,박선숙,0.1311318735314877,
권은희,김종인,0.13180118849393385,
서청원,조원진,0.13220718785081553,
서청원,임이자,0.13256238548663113,
이수혁,최경환(한),0.132953315046898,
김종인,서영교,0.13449220954920493,
김재경,김종인,0.1345629763047197,
김종태,나경원,0.13477318228352997,
박재호,서청원,0.13530201829834765,
김정훈,김종태,0.13585436811163,
김종인,추경호,0.1360099054714825,
서청원,전희경,0.13816253238625298,
김종인,이정현,0.1384208393797639,
서청원,주호영,0.13868081864916437,
서청원,심재철,0.13916467879515304,
김종인,박지원,0.13947513540066658,
김정훈,윤영석,0.1395949984721786,
김광수,김종인,0.13987679020706612,
김진태,서청원,0.1403179217740359,
김부겸,김종태,0.14146420748466382,
곽상도,서청원,0.14168419673649568,
김정훈,안철수,0.14203791186857107,
김정훈,서청원,0.14231278629358857,
서청원,이철우,0.14262084994685265,
김광수,배덕광,0.14277375956514304,
서청원,이양수,0.14300034663971528,
김종인,황주홍,0.14314553370068417,
김종인,천정배,0.14317936664154385,
강석호,서청원,0.14407750131252517,
서청원,유재중,0.14421196471212439,
김영주,심기준,0.14437321708839612,
김종태,홍문종,0.14442067345038168,
김상훈,김종인,0.1450586082646046,
김종태,안민석,0.14631970421989415,
서청원,최교일,0.1463778103219484,
김재원,윤영석,0.1464580097874536,
박준영,서청원,0.14659886790209342,
김종태,정동영,0.14686673577375786,
서청원,오제세,0.14700425979131093,
서청원,이현재,0.14706644564172555,
서청원,정병국,0.14715344147639176,
김부겸,이혜훈,0.14743836121837495,
김광림,서청원,0.14755466670734785,
서청원,정갑윤,0.14790245677338998,
김경수,김종인,0.1481012732385274,
